video_id,url,title,channel,upload_date,duration_s,license,singer_count_est,latency_regime_label,satb_confirmed,download_sha256,ingest_date,notes,tier
93zVg7wN-Lo,https://youtu.be/93zVg7wN-Lo,London City Voices small group sings Let Your Love Flow (the Bellamy Brothers) LIVE on Jamulus/Zoom.,London City Voices Choir,20210130,215,Standard YouTube License,8,NMP-Jamulus+Zoom,unknown,pending-sprint3,2026-05-17,Experiment framing with no mention of editing; transient smearing on consonant attacks audible.,Tier-1
HUuUAOb2n8g,https://www.youtube.com/watch?v=HUuUAOb2n8g,Zoom Choir Rehearsal 5.20.2020,Rick McCollum,20200522,2438,Standard YouTube License,30,Zoom-only,unknown,pending-sprint3,2026-05-17,"yt-dlp failed: ERROR: [youtube] HUuUAOb2n8g: This video is not available | revived 2026-05-19 via yt-dlp player_client=web,android workaround",Tier-1
NCXnQAMq0pY,https://youtu.be/NCXnQAMq0pY,Gewandhaus Choir – Soundjack Online Rehearsal Recoding 2 (12.2.21),Alexander Carôt,20210213,45,Standard YouTube License,16,NMP-SoundJack,unknown,pending-sprint3,2026-05-17,Start-stop rehearsal mechanics and raw UDP transmission glitches visible in the audio stream; sub-2-minute clip too short for DAW editing to be plausible.,Tier-1
QeeDraeQwYo,https://youtu.be/QeeDraeQwYo,Gewandhaus Choir – Soundjack Online Rehearsal Recoding 1 (12.2.21),Alexander Carôt,20210213,82,Standard YouTube License,16,NMP-SoundJack,unknown,pending-sprint3,2026-05-17,"Raw unedited count-ins, environmental noise, dry microphone feeds with no spatial processing; typical of a developer test capture.",Tier-1
VJ3TLIFHBGw,https://www.youtube.com/watch?v=VJ3TLIFHBGw,SDS 1st Jamulus Livestream Concert,Six Degree Singers,20210508,2825,Standard YouTube License,30,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Director discusses server overload mid-concert during live Q&A; one-take livestream framing throughout with no editing claimed.,Tier-1
VlOB9_-08pw,https://www.youtube.com/watch?v=VlOB9_-08pw,384 Panting for Heaven - Philly Sacred Harp Jamulus,Rachel Hall,20210202,141,Standard YouTube License,20,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Uploaded as a direct Jamulus session capture with no mention of editing; natural Sacred Harp vocal blend without artificial reverb or alignment.,Tier-1
YiUJM6f8YpQ,https://youtu.be/YiUJM6f8YpQ,London City Voices - Jamulus & Zoom rehearsal,London City Voices Choir,20210130,2094,Standard YouTube License,40,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,"Hacker Tier-0 seed (re-confirmed) | Description explicitly states 'This audio is not edited to put everyone in time — this is how it sounded to us'; only global AV sync nudge applied, not vocal comping.",Tier-0
Z-cH7j5iB3k,https://youtu.be/Z-cH7j5iB3k,Here's what zoom choral singing actually sounds like,"St. John's, West Hartford",20210306,45,Standard YouTube License,15,Zoom-only,unknown,pending-sprint3,2026-05-17,Complete rhythmic and harmonic dissolution from Zoom's 150ms+ latency is the entire point of the video; impossible to manufacture via editing.,Tier-1
ZDZ98tl2wAQ,https://youtu.be/ZDZ98tl2wAQ,Sing for Ukraine - Ukraine National Anthem - A cappella,Heléne Blixt,20220308,144,Standard YouTube License,60,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Minor latency clustering and slight temporal smearing audible where groups of singers drag behind the conductor's pulse; inconsistent with post-produced alignment.,Tier-1
ZKthfLPWBCQ,https://youtu.be/ZKthfLPWBCQ,London City Voices - small group sing Stacy's Mom (Fountains of Wayne) LIVE over Jamulus and Zoom,London City Voices Choir,20210130,208,Standard YouTube License,6,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Description states 'experiment to see if we could use Jamulus with Zoom for live performance'; occasional audio dropouts confirm real-time unedited capture.,Tier-1
bIDeVGwJQBI,https://www.youtube.com/watch?v=bIDeVGwJQBI,City Choir Spring 2021 Concert - Live Stream,City Choir,20210622,2534,Standard YouTube License,51,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Jamulus audio feed failed mid-concert causing two songs to be dropped; documented real-time technical failure is impossible to fake in post-production.,Tier-1
bT6B5hjk34M,https://www.youtube.com/watch?v=bT6B5hjk34M,"London City Voices sing ""O Holy Night"" live over Jamulus and Zoom",London City Voices Choir,20211221,210,Standard YouTube License,20,NMP-Jamulus+Zoom,unknown,pending-sprint3,2026-05-17,"Description states 'This was live … What you see and hear is mostly what we saw and heard, with some titles and logo added'; vocal comping explicitly ruled out.",Tier-1
eMCD_pEWpAQ,https://youtu.be/eMCD_pEWpAQ,Jamulus and Zoom singalong with three live instruments and 30 people online,London City Voices Choir,20210228,268,Standard YouTube License,30,NMP-Jamulus+Zoom,unknown,pending-sprint3,2026-05-17,Described as a long unplanned singalong 'not a choir performance at all'; continuous 2.5-hour raw session with acoustic bleed and overlapping banter.,Tier-1
isIV1XsKCgQ,https://youtu.be/isIV1XsKCgQ,"London City Voices singing ""Toxic"" live over Jamulus",London City Voices Choir,20210225,285,Standard YouTube License,45,NMP-Jamulus+Zoom,unknown,pending-sprint3,2026-05-17,Hacker Tier-0 seed (re-confirmed) | Described as a first-time-through demonstration of Jamulus capability; live verbal director feedback audible; raw Jamulus mix published without editing.,Tier-0
jui2O9xfAGo,https://www.youtube.com/watch?v=jui2O9xfAGo,Meeting Places: Singing from Home Edition (Trimmed),i Coristi Chamber Choir,20200531,2480,Standard YouTube License,15,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Artistic director states only light noise reduction and level adjustment applied post-hoc; real-time improvisation structure rules out comping.,Tier-1
m0B7eYw7oEk,https://youtu.be/m0B7eYw7oEk,Hair Medley (with costumes) NES Online Zoom Choir Rehearsal,Guy Bunce,20200702,497,Standard YouTube License,20,Zoom-only,unknown,pending-sprint3,2026-05-17,Native Zoom cacophony from multiple unmuted participants; no post-production could reproduce the characteristic Zoom smearing without re-recording.,Tier-1
